Program,Department,High School GPA,SAT Score,ACT Score,Advanced Coursework (0-10),STEM Extracurriculars (0-10),Leadership Experience (0-10),Letters of Recommendation (0-10),Personal Statement Quality (0-10),Diversity/Inclusion Contribution (0-10),Transfer Student GPA,Admission Accepted
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.43,1484,27,9,7,5,9,2,3,3.75,Yes
Computer Science,Computer Science and Electrical Engineering,3.39,1154,29,10,8,0,9,10,6,3.11,Yes
Computer Engineering,Information Systems,3.72,1153,30,0,10,9,9,10,3,3.07,No
Information Systems,Computer Science and Electrical Engineering,3.84,1439,28,6,2,6,7,2,0,3.68,Yes
Bioinformatics and Computational Biology,Information Systems,3.22,1528,24,4,6,8,1,10,7,3.96,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.53,1012,33,9,3,4,7,5,8,3.71,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.44,1292,21,1,9,4,0,9,3,3.72,Yes
Chemical Engineering,Computer Science and Electrical Engineering,2.54,1582,35,9,3,1,6,10,2,3.47,No
Environmental Engineering,Mechanical Engineering,2.6,1220,26,10,9,2,4,2,3,3.67,Yes
Mechanical Engineering,Information Systems,2.69,1469,34,2,10,2,3,0,2,3.78,No
Cybersecurity Informatics,Information Systems,2.97,1566,27,9,9,9,10,3,4,3.12,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,2.74,1049,26,3,4,3,1,4,5,2.7,No
Cybersecurity Informatics,Information Systems,3.36,1268,26,1,3,5,0,4,2,3.65,Yes
Information Systems,Information Systems,3.38,1407,27,3,8,1,5,8,0,3.19,Yes
Chemical Engineering,Information Systems,3.37,1103,35,5,9,3,6,10,2,3.28,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.61,1356,24,8,10,10,1,9,0,2.63,Yes
Information Systems,Computer Science and Electrical Engineering,2.9,1017,22,10,10,5,4,8,0,3.67,Yes
Electrical Engineering,Information Systems,3.98,1531,35,4,2,1,5,2,4,3.86,No
Bioinformatics and Computational Biology,Information Systems,3.09,1188,34,4,7,5,2,8,6,2.68,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.8,1230,25,5,2,0,9,10,10,3.13,No
Chemical Engineering,Information Systems,3.54,1431,23,0,2,9,0,2,10,2.98,No
Information Systems,Information Systems,2.97,1041,25,4,2,8,4,2,7,3.88,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.71,1437,25,9,10,4,5,8,0,3.97,No
Computer Science,Computer Science and Electrical Engineering,2.76,1306,32,9,6,4,4,9,8,2.96,Yes
Computer Engineering,Information Systems,2.63,1385,32,6,10,0,0,5,10,3.15,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),2.81,1417,35,2,6,4,0,4,5,3.71,Yes
Mechanical Engineering,Information Systems,3.57,1287,27,3,8,10,4,7,4,3.89,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.84,1135,27,5,1,3,3,4,4,2.82,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.5,1384,22,3,3,5,5,0,7,3.7,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.02,1568,23,9,1,7,0,5,7,2.81,Yes
Chemical Engineering,Mechanical Engineering,3.99,1138,21,5,8,7,4,5,1,3.48,Yes
Environmental Engineering,Mechanical Engineering,3.41,1598,26,1,5,5,3,9,1,3.24,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.74,1377,20,5,5,7,1,10,0,3.56,Yes
Business TechNology Administration,Information Systems,3.22,1544,21,6,2,9,8,8,7,2.95,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.87,1182,22,9,0,2,8,0,3,3.63,Yes
Electrical Engineering,Information Systems,3.97,1105,22,9,0,5,5,4,1,2.99,Yes
Chemical Engineering,Mechanical Engineering,2.68,1103,21,7,5,2,8,4,5,3.32,Yes
Mechanical Engineering,Information Systems,3.58,1234,34,10,4,9,10,7,6,3.92,Yes
Chemical Engineering,Mechanical Engineering,3.21,1272,31,0,10,2,0,4,1,2.64,Yes
Computer Science,Computer Science and Electrical Engineering,2.97,1599,35,8,2,10,8,4,5,3.29,No
Cybersecurity Informatics,Information Systems,3.69,1534,34,10,0,1,8,9,9,2.54,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),2.78,1510,25,3,5,7,10,6,3,3.74,Yes
Computer Science,Computer Science and Electrical Engineering,3.47,1104,20,2,2,4,7,6,6,3.36,No
Electrical Engineering,Information Systems,3.92,1197,24,1,1,10,1,1,5,2.76,Yes
Cybersecurity Informatics,Information Systems,2.81,1091,26,2,9,2,3,2,4,2.68,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.49,1519,28,2,0,6,6,3,3,2.63,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.79,1358,29,9,8,1,3,0,2,2.74,No
Electrical Engineering,Information Systems,3.9,1156,33,0,9,0,7,8,2,3.57,Yes
Chemical Engineering,Information Systems,2.54,1096,20,4,5,10,1,4,10,3.22,Yes
Electrical Engineering,Information Systems,3.81,1397,33,4,0,3,6,10,2,3.87,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.98,1537,32,4,5,1,1,4,10,3.05,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.54,1061,25,0,1,6,0,6,8,3.66,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.42,1155,26,0,2,9,5,0,0,2.95,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.72,1291,25,10,2,6,5,9,8,3.05,No
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.94,1590,22,7,7,5,2,3,7,3.06,Yes
Environmental Engineering,Information Systems,3.07,1227,27,4,4,8,10,7,2,3.68,Yes
Business TechNology Administration,Information Systems,2.77,1295,32,10,0,1,7,4,2,3.09,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),3.9,1210,21,4,1,7,10,5,6,3.19,Yes
Chemical Engineering,Computer Science and Electrical Engineering,2.52,1422,35,7,5,5,8,8,7,3.26,Yes
Computer Engineering,Information Systems,3.43,1492,23,7,5,2,8,10,0,2.67,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.95,1383,30,3,4,8,3,7,9,3.15,Yes
Environmental Engineering,Mechanical Engineering,3.9,1526,34,8,7,4,7,8,2,3.28,No
Environmental Engineering,Biological Sciences (in collaboration with COEIT),2.93,1292,23,7,4,3,3,3,7,3.96,Yes
Cybersecurity Informatics,Information Systems,3.99,1166,35,1,4,3,10,9,1,3.52,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.59,1270,29,7,4,2,1,5,5,3.21,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.92,1516,28,10,0,8,10,4,3,3.76,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.94,1107,34,5,3,9,9,4,3,3.67,Yes
Computer Engineering,Mechanical Engineering,3.29,1384,30,7,5,5,4,8,3,3.69,Yes
Electrical Engineering,Information Systems,3.35,1011,24,1,5,5,5,0,2,2.85,Yes
Environmental Engineering,Mechanical Engineering,3.24,1164,25,7,8,2,1,5,0,3.55,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.77,1350,31,7,1,3,8,6,9,3.1,No
Mechanical Engineering,Information Systems,2.58,1288,33,10,9,6,8,10,8,3.08,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.7,1364,30,4,6,6,6,5,10,3.74,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.01,1234,33,0,5,6,0,1,5,3.67,Yes
Mechanical Engineering,Information Systems,3.23,1553,31,9,4,2,10,2,6,3.11,Yes
Mechanical Engineering,Mechanical Engineering,3.35,1465,25,4,1,8,3,6,2,3.52,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.6,1268,31,7,6,5,3,7,0,3.26,No
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.06,1366,28,3,1,6,10,1,6,3.3,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.74,1454,32,9,10,0,1,10,1,3.61,Yes
Computer Science,Computer Science and Electrical Engineering,3.44,1564,28,5,8,10,8,5,0,3.28,Yes
Environmental Engineering,Mechanical Engineering,3.98,1489,27,3,8,8,4,4,10,3.02,Yes
Business TechNology Administration,Information Systems,3.61,1114,30,3,9,10,4,2,2,3.89,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.18,1364,27,1,0,3,9,0,10,3.49,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.54,1066,24,1,7,5,9,8,1,3.1,No
Electrical Engineering,Information Systems,3.18,1355,21,7,9,1,4,5,7,3.91,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.58,1201,25,8,0,10,2,9,4,3.85,Yes
Cybersecurity Informatics,Information Systems,3.64,1021,28,6,0,6,4,8,0,2.96,Yes
Cybersecurity Informatics,Information Systems,3.62,1440,25,10,9,5,5,9,10,3.98,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.78,1381,25,3,3,0,10,8,5,2.82,No
Business TechNology Administration,Computer Science and Electrical Engineering,3.27,1460,30,10,8,5,3,9,6,3.62,Yes
Chemical Engineering,Information Systems,2.67,1059,29,4,4,7,0,8,0,2.52,Yes
Environmental Engineering,Information Systems,2.71,1258,31,3,2,3,7,8,2,3.95,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),2.76,1489,30,10,10,2,7,9,1,3.08,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.05,1008,29,4,6,3,8,0,0,2.74,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.85,1021,32,2,6,0,3,3,10,2.57,No
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.98,1416,26,1,8,9,5,3,8,3.29,No
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.46,1270,24,1,7,5,0,5,4,2.61,Yes
Computer Science,Information Systems,3.78,1561,25,10,7,7,4,2,1,2.89,Yes
Information Systems,Computer Science and Electrical Engineering,3.09,1397,21,10,1,10,2,9,3,3.93,Yes
Electrical Engineering,Information Systems,3.28,1198,22,10,3,0,0,9,7,3.48,Yes
Information Systems,Computer Science and Electrical Engineering,3.44,1372,35,8,10,4,8,6,1,3.47,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.3,1072,21,4,1,3,4,8,3,3.03,Yes
Mechanical Engineering,Information Systems,3.81,1312,22,6,3,7,1,4,4,3.65,Yes
Computer Science,Computer Science and Electrical Engineering,3.09,1582,26,6,1,9,8,9,3,3.77,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.2,1196,28,1,1,10,10,7,8,2.72,Yes
Chemical Engineering,Information Systems,2.75,1010,23,5,3,5,10,9,8,3.58,Yes
Bioinformatics and Computational Biology,Information Systems,2.77,1136,28,7,6,6,3,10,3,2.64,No
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.71,1015,28,6,3,9,7,7,9,3.07,Yes
Business TechNology Administration,Mechanical Engineering,3.07,1000,28,10,4,6,4,9,1,3.11,Yes
Business TechNology Administration,Information Systems,2.63,1352,28,10,1,4,7,4,9,2.58,Yes
Mechanical Engineering,Information Systems,2.59,1148,32,6,1,8,3,3,1,2.62,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.79,1086,20,6,10,3,8,9,7,3.96,Yes
Information Systems,Computer Science and Electrical Engineering,3.05,1505,20,6,6,0,9,10,8,2.89,Yes
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),3.15,1318,31,5,8,2,7,0,5,2.64,Yes
Computer Science,Mechanical Engineering,2.81,1556,22,2,2,8,5,7,3,2.92,Yes
Chemical Engineering,Information Systems,2.88,1412,27,6,0,10,0,3,3,2.59,Yes
Information Systems,Mechanical Engineering,3.05,1007,30,3,10,10,5,3,2,2.89,Yes
Business TechNology Administration,Information Systems,3.04,1237,28,1,10,0,8,7,5,3.81,Yes
Business TechNology Administration,Mechanical Engineering,3.25,1161,32,4,9,9,1,0,8,3.97,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.8,1144,21,4,4,0,2,1,1,2.69,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.74,1412,25,5,7,10,5,2,5,3.06,Yes
Information Systems,Computer Science and Electrical Engineering,3.74,1121,30,3,5,2,3,0,5,3.89,No
Mechanical Engineering,Information Systems,2.76,1131,35,10,2,8,9,10,2,3.63,No
Electrical Engineering,Mechanical Engineering,2.63,1227,26,10,1,0,9,1,4,2.97,Yes
Computer Science,Information Systems,3.35,1222,32,4,2,5,0,0,2,3.42,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.28,1460,33,2,7,0,2,3,2,2.84,Yes
Bioinformatics and Computational Biology,Information Systems,2.57,1544,29,8,0,4,6,4,1,3.6,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.51,1474,21,1,10,5,8,6,6,3.73,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.51,1094,33,9,9,6,1,4,3,3.21,Yes
Mechanical Engineering,Information Systems,3.4,1478,33,9,2,6,6,3,2,2.71,Yes
Cybersecurity Informatics,Mechanical Engineering,3.87,1046,34,5,10,1,6,0,2,3.99,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.4,1297,29,3,3,0,7,1,8,3.89,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.71,1012,33,1,9,9,2,7,0,3.06,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.08,1453,34,1,0,7,9,8,10,3.06,Yes
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),3.92,1101,33,1,4,1,2,1,4,2.7,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.22,1339,28,10,7,10,4,3,1,3.56,Yes
Information Systems,Mechanical Engineering,2.65,1455,33,5,3,2,7,2,6,2.84,Yes
Information Systems,Computer Science and Electrical Engineering,3.28,1044,28,5,9,3,3,2,8,3.65,Yes
Information Systems,Computer Science and Electrical Engineering,3.5,1439,30,4,2,5,4,0,1,3.54,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.55,1290,26,9,5,10,9,9,3,3.27,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.56,1297,22,3,6,9,1,3,4,3.11,Yes
Chemical Engineering,Mechanical Engineering,3.39,1414,21,6,3,5,10,5,0,2.64,No
Electrical Engineering,Computer Science and Electrical Engineering,2.69,1506,20,5,1,6,6,1,6,3.77,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.43,1442,25,3,0,10,8,9,0,3.6,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.27,1057,20,7,4,10,8,10,6,3.72,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.57,1590,32,1,3,8,9,0,5,3.71,No
Computer Science,Biological Sciences (in collaboration with COEIT),3.38,1566,31,5,6,1,10,10,10,3.84,Yes
Computer Engineering,Information Systems,2.59,1314,34,0,6,2,8,10,9,2.81,Yes
Chemical Engineering,Information Systems,2.76,1577,29,8,1,2,7,9,7,3.01,No
Bioinformatics and Computational Biology,Information Systems,3.48,1549,22,7,10,8,10,10,4,3.63,Yes
Business TechNology Administration,Information Systems,3.61,1127,32,5,6,10,9,4,8,3.32,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.82,1372,20,5,2,5,2,1,1,3.43,Yes
Chemical Engineering,Information Systems,2.59,1002,27,1,10,6,8,6,1,3.47,Yes
Computer Science,Computer Science and Electrical Engineering,2.65,1116,34,9,10,5,9,9,2,3.51,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.69,1002,30,7,8,4,3,6,6,3.16,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.39,1106,34,7,4,6,8,10,0,3.37,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.62,1398,33,2,1,2,0,8,3,2.78,Yes
Chemical Engineering,Computer Science and Electrical Engineering,2.72,1428,32,9,1,2,9,9,1,2.97,No
Chemical Engineering,Information Systems,3.04,1594,30,10,3,7,0,10,8,3.51,Yes
Environmental Engineering,Information Systems,3.93,1358,27,2,0,9,2,1,1,3.07,Yes
Environmental Engineering,Mechanical Engineering,2.53,1185,20,2,0,0,5,5,4,3.39,Yes
Computer Engineering,Information Systems,3.72,1066,23,2,8,0,9,2,3,2.55,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.72,1434,22,0,1,7,0,8,10,3.62,No
Information Systems,Mechanical Engineering,3.31,1273,23,2,1,5,3,3,9,2.58,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.41,1593,25,9,7,0,8,0,4,2.53,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.65,1563,35,4,0,10,7,2,2,3.28,Yes
Computer Science,Information Systems,2.59,1060,26,0,0,6,10,1,2,3.93,No
Chemical Engineering,Computer Science and Electrical Engineering,2.85,1361,29,6,2,10,9,2,8,3.7,Yes
Chemical Engineering,Information Systems,3.75,1550,32,0,9,8,5,6,8,3.86,Yes
Electrical Engineering,Information Systems,2.75,1077,34,1,9,10,8,8,9,2.94,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.48,1593,28,7,10,1,4,10,10,2.81,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.88,1253,22,5,7,0,8,6,10,3.64,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.88,1354,24,10,2,7,2,8,2,3.59,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,2.59,1031,24,4,2,7,9,8,10,2.72,Yes
Chemical Engineering,Information Systems,3.96,1504,34,5,8,5,1,6,8,3.69,No
Computer Science,Information Systems,3.55,1528,34,6,10,5,4,10,8,3.65,Yes
Computer Science,Information Systems,2.53,1380,32,3,0,10,8,1,0,3.15,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.76,1472,26,3,3,2,10,2,9,2.74,No
Mechanical Engineering,Information Systems,2.51,1139,25,4,8,9,5,1,7,3.33,Yes
Business TechNology Administration,Information Systems,3.72,1138,21,2,5,3,10,5,2,2.88,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.9,1017,31,1,1,0,7,9,4,3.82,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.62,1016,34,7,4,6,4,10,9,3.99,No
Environmental Engineering,Biological Sciences (in collaboration with COEIT),4,1468,32,3,4,2,7,6,0,3.01,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.08,1414,30,7,5,4,7,10,8,3,Yes
Cybersecurity Informatics,Information Systems,3.76,1014,29,3,5,8,4,9,10,3.33,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.42,1044,33,3,3,8,0,8,3,3.54,No
Mechanical Engineering,Computer Science and Electrical Engineering,3.86,1051,30,3,7,5,2,6,5,3.97,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.88,1240,33,10,2,1,10,5,2,3.16,Yes
Environmental Engineering,Mechanical Engineering,3.44,1111,35,3,9,7,8,1,2,2.56,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),2.82,1351,30,7,6,6,1,2,9,2.95,Yes
Cybersecurity Informatics,Information Systems,3.6,1044,27,1,0,3,10,1,2,2.57,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.11,1256,22,7,7,3,7,4,4,3.95,Yes
Electrical Engineering,Information Systems,3.26,1040,25,10,2,5,7,5,0,3.05,Yes
Chemical Engineering,Information Systems,3.05,1450,29,4,7,6,6,5,0,3.6,Yes
Computer Science,Information Systems,3.29,1416,31,0,1,2,10,6,8,3.91,No
Mechanical Engineering,Computer Science and Electrical Engineering,2.57,1079,31,8,5,10,1,7,4,3.56,No
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.81,1585,31,10,5,6,9,2,2,3.83,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.57,1074,22,8,3,1,5,6,3,3.2,Yes
